custom_id,Index,Character,Pinyin,Radical,Strokes,Structure,Sentence,Words
0001,0001,爸,"[""bà""]",父,8,上下结构,爸爸每天早晨都和我去散步。,"[""爸爸"", ""爸妈"", ""干爸"", ""老爸""]"
0002,0002,妈,"[""mā""]",女,6,左右结构,妈妈每天都送我去上学。,"[""姑妈"", ""嫂妈"", ""舅妈"", ""奶妈"", ""干妈"", ""妈祖"", ""妈咪"", ""妈妈""]"
0003,0003,我,"[""wǒ""]",戈,7,独体结构,我是一个可爱的小女孩。,"[""我们"", ""我家"", ""我军"", ""我辈"", ""自我批评"", ""自我表现""]"
0004,0004,大,"[""dà""]",大,3,独体结构,这东西太大了！,"[""大家"", ""高大"", ""大写"", ""大衣"", ""大小"", ""大树"", ""大米"", ""大吵"", ""大闹"", ""光明"", ""大道""]"
0005,0005,米,"[""mǐ""]",米,6,独体结构,我家买了一袋米！,"[""米饭"", ""大米"", ""千米"", ""百米"", ""米尺"", ""玉米"", ""厘米"", ""淘米"", ""买米"", ""下锅""]"
0006,0006,土,"[""tǔ""]",土,3,独体结构,播种子时闻一闻泥土的气息。,"[""土地"", ""本土"", ""土豆"", ""乡土"", ""净土"", ""泥土"", ""尘土"", ""土壤"", ""大兴土木"", ""寸土必争""]"
0007,0007,地,"[""dì""]",土,6,左右结构,冬天都在雪地里玩堆雪人。,"[""土地"", ""地点"", ""地面"", ""地图"", ""地板"", ""地址"", ""地球"", ""地瓜"", ""出人头地"", ""天昏地暗"", ""辛勤地劳动""]"
0008,0008,马,"[""mǎ""]",马,3,独体结构,他们要去做马匹交易。,"[""马上"", ""马路"", ""马桶"", ""马达"", ""小马"", ""海马"", ""马匹"", ""马到成功"", ""千军万马""]"
0009,0009,花,"[""huā""]",艹,7,上下结构,玫瑰是我最喜欢的花。,"[""花草"", ""花朵"", ""送花"", ""窗花"", ""黄花"", ""花园"", ""花叶"", ""种花"", ""花开"", ""花落"", ""花样不同""]"
0010,0010,哥,"[""gē""]",口 (dictionary),10,上下结构,哥哥就是自己的兄长。,"[""哥哥"", ""表哥"", ""哥子"", ""二哥"", ""八哥"", ""老哥"", ""哥们"", ""公子哥儿"", ""老哥儿们""]"
0011,0011,弟,"[""dì""]",弓 (dictionary),7,独体结构,我有一个可爱调皮的弟弟。,"[""弟弟"", ""弟妹"", ""弟子"", ""表弟"", ""小弟"", ""兄弟"", ""入室弟子""]"
0012,0012,个,"[""gè""]",人,3,独体结构,我每天都要吃一个水果。,"[""一个"", ""两个"", ""那个"", ""个子"", ""高个"", ""个别""]"
0013,0013,画,"[""huà""]",田 (dictionary),8,半包围结构,我每天都要画一幅画。,"[""画家"", ""画笔"", ""画画"", ""图画"", ""画册"", ""画像"", ""画面"", ""画展"", ""画龙点睛"", ""画蛇添足""]"
0014,0014,下,"[""xià""]",一,3,独体结构,今天下着毛毛细雨。,"[""下雨"", ""下面"", ""下山"", ""下车"", ""下班"", ""下课"", ""下蛋"", ""下不为例"", ""上下浮动""]"
0015,0015,洗,"[""xǐ""]",氵,9,左右结构,妈妈叫我洗手吃饭了。,"[""洗手"", ""洗脸"", ""洗脚"", ""洗衣"", ""洗浴"", ""洗澡"", ""洗头"", ""洗刷"", ""洗耳恭听"", ""金盆洗手""]"
0016,0016,衣,"[""yī""]",衣,6,独体结构,每天穿漂亮的衣服。,"[""衣服"", ""衣柜"", ""衣架"", ""衣着"", ""衣钩"", ""衣食父母"", ""衣冠楚楚""]"
0017,0017,服,"[""fú""]",月,8,左右结构,冬天穿着厚厚的衣服。,"[""服务"", ""服装"", ""服从"", ""服气"", ""服输"", ""服刑"", ""服饰"", ""心服"", ""口服"", ""以德服人""]"
0018,0018,鸡,"[""jī""]",又,7,左右结构,我们家乡有很多人养鸡。,"[""公鸡"", ""鸡蛋"", ""母鸡"", ""小鸡"", ""鸡毛"", ""山鸡"", ""野鸡"", ""鸡仔"", ""鸡飞狗跳"", ""鸡毛蒜皮""]"
0019,0019,做,"[""zuò""]",亻,11,左右结构,妈妈每天都做很多家务。,"[""做人"", ""做梦"", ""做法"", ""做主"", ""做事"", ""做戏"", ""做客"", ""做贼心虚"", ""好吃懒做""]"
0020,0020,过,"[""guò""]",辶,6,半包围结构,叔叔过来叫我拿东西。,"[""过来"", ""过去"", ""过关"", ""过年"", ""过节"", ""过错"", ""过分"", ""过敏"", ""过目不忘"", ""聪明过人""]"
0021,0021,了,"[""le"", ""liǎo""]",乙 (dictionary),2,独体结构,我们愉快的度过了假期。,"[""为了"", ""走了"", ""完了"", ""罢了"", ""了断"", ""了结"", ""了得"", ""明了"", ""了不起"", ""了如指掌""]"
0022,0022,不,"[""bù""]",一,4,独体结构,我不喜欢跟他一起玩。,"[""不久"", ""不安"", ""不屈"", ""不得"", ""不公"", ""不良"", ""不行"", ""不相上下""]"
0023,0023,乐,"[""lè"", ""yuè""]",丷 (dictionary),5,独体结构,大家一起快乐的玩耍。,"[""乐观"", ""快乐"", ""欢乐"", ""乐园"", ""安居乐业"", ""乐于助人"", ""乐队"", ""音乐"", ""乐曲"", ""乐谱""]"
0024,0024,出,"[""chū""]",出 (dictionary),5,独体结构,今天出去玩的好开心。,"[""出动"", ""出兵"", ""出口"", ""出发"", ""出国"", ""出名"", ""出去"", ""出入"", ""出神入化"", ""出谋划策""]"
0025,0025,读,"[""dú""]",讠,7 (dictionary),左右结构,我每天都要读书学习。,"[""读书"", ""读音"", ""读者"", ""读物"", ""朗读"", ""阅读"", ""复读"", ""选读"", ""书读五年"", ""百读不厌""]"
0026,0026,书,"[""shū""]",乙 (dictionary),4,独体结构,老师发给了我新书。,"[""书包"", ""读书"", ""书本"", ""图书"", ""书法"", ""书店"", ""书桌"", ""书写"", ""三书六礼"", ""知书达理""]"
0027,0027,骑,"[""qí""]",马,11,左右结构,孩子们正骑着单车玩耍。,"[""骑马"", ""骑士"", ""骑术"", ""骑兵"", ""骑马找马"", ""骑虎难下""]"
0028,0028,车,"[""chē""]",车,4,独体结构,爸爸有一辆汽车。,"[""汽车"", ""车站"", ""车票"", ""火车"", ""车轮"", ""车灯"", ""车主"", ""车祸"", ""车水马龙"", ""轻车"", ""熟路"", ""舍车保帅""]"
0029,0029,的,"[""de (dictionary)"", ""dí (dictionary)"", ""dì (dictionary)""]",白,8,左右结构,将来能为祖国的建设出一份力。,"[""的确"", ""好的"", ""是的"", ""真的"", ""众矢之的"", ""一言中的"", ""的士"", ""摩的""]"
0030,0030,话,"[""huà""]",讠,8,左右结构,说话做事都要有礼貌。,"[""说话"", ""废话"", ""话别"", ""话题"", ""话剧"", ""谈话"", ""对话"", ""话不投机"", ""话里有话""]"
0031,0031,你,"[""nǐ""]",亻,7,左右结构,你们去哪里玩呢？,"[""你们"", ""你好"", ""你来"", ""我往"", ""你追"", ""我赶"", ""你死我活""]"
0032,0032,他,"[""tā""]",亻,5,左右结构,他们都是我的好朋友。,"[""他们"", ""他乡"", ""他人"", ""吉他"", ""他日"", ""他家"", ""他山之石"", ""异地他乡""]"
0033,0033,水,"[""shuǐ""]",水,4,独体结构,我们喝的都是矿泉水。,"[""水果"", ""水草"", ""水井"", ""水面"", ""水手"", ""水晶"", ""水枪"", ""水中"", ""水落石出"", ""水来土掩""]"
0034,0034,白,"[""bái""]",白,5,独体结构,妈妈的皮肤好白啊。,"[""白色"", ""白纸"", ""白菜"", ""白酒"", ""白发"", ""白痴"", ""白字"", ""白天"", ""白手起家"", ""白头到老""]"
0035,0035,皮,"[""pí""]",皮,5,独体结构,动物身上有一层厚厚的皮。,"[""皮肤"", ""皮毛"", ""皮球"", ""皮带"", ""皮包"", ""皮衣"", ""皮蛋"", ""皮卡"", ""皮肉之苦"", ""死皮赖脸""]"
0036,0036,子,"[""zǐ""]",子,3,独体结构,他们有3个孝顺的孩子。,"[""子弹"", ""孩子"", ""子女"", ""子孙"", ""男子"", ""妻子"", ""才子"", ""胡子"", ""子虚乌有"", ""子孙后代""]"
0037,0037,在,"[""zài""]",土,6,半包围结构,他们在地上打滚。,"[""在场"", ""在做"", ""在这"", ""在意"", ""在世"", ""在家"", ""在不"", ""在位"", ""在所不惜"", ""乐在其中""]"
0038,0038,小,"[""xiǎo""]",小,3,独体结构,爸爸有一辆小汽车。,"[""小学"", ""小心"", ""小路"", ""小写"", ""小组"", ""小票"", ""小品"", ""小样"", ""小心翼翼"", ""小家碧玉""]"
0039,0039,爱,"[""ài""]",爫,10,上下结构,我爱我的爸爸妈妈。,"[""爱好"", ""爱美"", ""爱国"", ""爱人"", ""爱慕"", ""爱情"", ""喜爱"", ""爱玩"", ""爱慕虚荣"", ""爱不释手""]"
0040,0040,吃,"[""chī""]",口,6,左右结构,他很喜欢吃东西。,"[""吃饭"", ""吃醋"", ""吃力"", ""吃亏"", ""吃惊"", ""吃苦"", ""吃面"", ""吃肉"", ""吃苦耐劳"", ""软硬不吃""]"
0041,0041,鱼,"[""yú""]",鱼,8,上下结构,我们养了很多鱼。,"[""鱼肉"", ""草鱼"", ""鲤鱼"", ""鱼网"", ""鱼钩"", ""鱼刺"", ""鱼缸"", ""鱼池"", ""鱼龙混杂"", ""如鱼得水""]"
0042,0042,和,"[""hé"", ""huó"", ""hú"", ""hè""]",禾,8,左右结构,爸爸妈妈和我一起旅游。,"[""和平"", ""和谐"", ""和解"", ""和气"", ""和面"", ""和泥"", ""暖和"", ""和了"", ""和牌"", ""一唱一和""]"
0043,0043,牛,"[""niú""]",牛,4,独体结构,我每天早上都要喝牛奶。,"[""牛奶"", ""奶牛"", ""牛车"", ""牛肉"", ""牛排"", ""牛角尖"", ""牛仔裤"", ""牛气冲天"", ""九牛一毛""]"
0044,0044,草,"[""cǎo""]",艹,9,上下结构,我家门口有一片草地。,"[""草地"", ""青草"", ""草苗"", ""草丛"", ""草稿"", ""草包"", ""绿草"", ""草坪"", ""寸草不生"", ""一草一木""]"
0045,0045,好,"[""hǎo"", ""hào""]",女,6,左右结构,妈妈教我多做好事。,"[""好事"", ""好处"", ""好人"", ""好多"", ""好像"", ""好香"", ""好玩"", ""好吃"", ""好事成双"", ""花好月圆"", ""爱好"", ""游手好闲""]"
0046,0046,家,"[""jiā""]",宀,10,上下结构,我很爱我的家。,"[""家人"", ""家长"", ""家园"", ""家务"", ""家具"", ""家乡"", ""家教"", ""家里"", ""当家做主"", ""家常便饭""]"
0047,0047,飞,"[""fēi""]",飞,3,独体结构,鸟儿在天上愉快的飞行。,"[""飞机"", ""飞船"", ""飞快"", ""飞舞"", ""飞到"", ""飞速"", ""飞驰"", ""飞越"", ""飞来"", ""飞去"", ""飞龙在天""]"
0048,0048,机,"[""jī""]",木,6,左右结构,我没有给他任何机会。,"[""机会"", ""飞机"", ""机密"", ""机场"", ""生机"", ""时机"", ""机要"", ""机不可失"", ""当机立断""]"
0049,0049,有,"[""yǒu""]",月,6,半包围结构,今天有人请我吃饭。,"[""有钱"", ""有害"", ""有意"", ""有效"", ""有利"", ""有缘"", ""有料"", ""有机可乘"", ""有求必应""]"
0050,0050,儿,"[""ér""]",儿,2,独体结构,我是爸爸的好儿子。,"[""儿子"", ""儿童"", ""儿时"", ""儿女"", ""儿媳"", ""女儿"", ""花儿"", ""儿戏"", ""生儿育女"", ""儿女情长""]"
0051,0051,河,"[""hé""]",氵,8,左右结构,我家门前有一条宽宽的河。,"[""河边"", ""河岸"", ""河底"", ""河流"", ""河马"", ""河南"", ""河水"", ""河里"", ""万里河山"", ""气吞山河""]"
0052,0052,入,"[""rù""]",入,2,独体结构,我加入他们中间一起玩。,"[""入场"", ""入党"", ""入门"", ""入口"", ""入迷"", ""入侵"", ""入狱"", ""入选"", ""不入虎穴"", ""上天入地""]"
0053,0053,校,"[""xiào"", ""jiào""]",木,10,左右结构,我每天都要步行去学校。,"[""学校"", ""校友"", ""校长"", ""校园"", ""校庆"", ""校规"", ""校场"", ""校刊"", ""摸金校尉"", ""校正"", ""校场""]"
0054,0054,山,"[""shān""]",山,3,独体结构,前面有座屹立的大山。,"[""山头"", ""山坡"", ""山脚"", ""山寨"", ""山东"", ""山顶"", ""山水"", ""山脉"", ""高山流水"", ""东山再起""]"
0055,0055,田,"[""tián""]",田,5,独体结构,那块田里种了好多稻谷啊。,"[""田地"", ""田园"", ""田间"", ""种田"", ""梯田"", ""田径"", ""山田"", ""煤田"", ""瓜田"", ""李下"", ""沧海桑田""]"
0056,0056,左,"[""zuǒ""]",工,5,半包围结构,前面巷子左转就是我的家了。,"[""左边"", ""左手"", ""左侧"", ""左面"", ""左轮"", ""左行"", ""左旁"", ""左邻右舍"", ""左思右想""]"
0057,0057,片,"[""piàn"", ""piān""]",片,4,独体结构,我应该给她寄张卡片吗？,"[""卡片"", ""名片"", ""瓦片"", ""片面"", ""片刻"", ""切片"", ""片头"", ""只言片语"", ""冰心一片"", ""老照片"", ""戏剧片""]"
0058,0058,右,"[""yòu""]",口,5,半包围结构,这件事真叫他左右两难。,"[""右手"", ""右边"", ""左右"", ""右行"", ""右侧"", ""右臂"", ""右倾"", ""右面"", ""左思右想"", ""左邻右舍""]"
0059,0059,半,"[""bàn""]",八,5,独体结构,今年已经过去半年了。,"[""半天"", ""半空"", ""半路"", ""半径"", ""半夜"", ""过半"", ""半载"", ""半壁江山"", ""半斤八两""]"
0060,0060,云,"[""yún""]",一,4,独体结构,天上漂浮一朵朵白云。,"[""云朵"", ""云彩"", ""云梯"", ""云雾"", ""云南"", ""云游"", ""云块"", ""云中"", ""烟消云散"", ""云开雾散""]"
0061,0061,她,"[""tā""]",女,6,左右结构,她又买了一个新玩具。,"[""她们"", ""她的"", ""想她"", ""她是""]"
0062,0062,老,"[""lǎo""]",老,6,半包围结构,老师传授给我们知识,"[""老师"", ""老人"", ""老家"", ""老实"", ""老鼠"", ""古老"", ""老虎"", ""衰老"", ""老奸巨猾"", ""男女老少""]"
0063,0063,师,"[""shī""]",巾,6,左右结构,长大后我要去读师范大学。,"[""师父"", ""师长"", ""师兄"", ""师生"", ""师徒"", ""师范"", ""师资"", ""百万雄师"", ""劳师动众""]"
0064,0064,文,"[""wén""]",文,4,独体结构,爸爸叫我把文件袋递给他。,"[""文件"", ""文字"", ""文化"", ""文明"", ""文学"", ""文物"", ""文凭"", ""中文"", ""文房四宝"", ""分文不取""]"
0065,0065,朵,"[""duǒ""]",几,6,上下结构,那朵菊花好漂亮。,"[""花朵"", ""耳朵"", ""云朵"", ""大快朵颐"", ""如花似朵""]"
